symbol,videoUrl
FLIP,
KIN,https://vimeo.com/218866968
PRS,
MRV,
BOTA,
TGT,ran through all platforms - no videos found 
BTN,
TRX,ran through all platforms - no videos found 
JET,https://vimeo.com/123335353
ATL,https://youtu.be/ACTZ9ZsVZfc
COB,https://youtu.be/1NWCPab5_pY
PRO,https://youtu.be/91Ws1S7IVCU
IQT,https://youtu.be/u1sU26Mktxw
STU,https://youtu.be/Rtwhjk_biFQ
XHY,
ARX,
KING,
BITS,ran through all platforms - no videos found 
EBET,ran through all platforms - no videos found 
CNX,https://youtu.be/C78J_KEEm5E
HBT,https://youtu.be/0V3EnKjuDsA
KNC,https://youtu.be/lNNLr2D0yig
YESTERDAY,
POS,ran through all platforms - no videos found 
TKR,https://youtu.be/PjP4hMUSXTw
GGS,
RLX,
ARENA,
ATS,https://vimeo.com/229000920
RSPR,
WIC,https://youtu.be/dWiB_OMk0Ys
VOISE,ran through all platforms - no videos found 
HGT,https://youtu.be/ZSqvGNXgFAY
SUB,https://youtu.be/hlrSTBgl-7s
DOM,
INXT,ran through all platforms - no videos found 
DAY,https://player.vimeo.com/video/225394114
PPT2,
XAI,
IWT,
BMC,https://www.facebook.com/blackmoonfg/videos/713681848831688/
UGT,ran through all platforms - no videos found 
LINK,ran through all platforms - no videos found 
ATM,ran through all platforms - no videos found 
GOOC,
TFT,
ALPC,
VIBE,https://youtu.be/qvXfDZdVo7I
RPL,
TEU,
SDRN,ran through all platforms - no videos found 
SPNK,
FAP,ran through all platforms - no videos found 
DBET,https://youtu.be/01x2Ub8Orv0
SND,https://youtu.be/KpBJZU2SXao
XNN,ran through all platforms - no videos found 
TRV,
COSS,https://youtu.be/IGqxmxB9NoA
AIR,ran through all platforms - no videos found 
SYN,
WOLK,
BTM,http://bytom.io/wp-content/themes/news/bytom-ui/img/bytom_b_3.mp4
LLT,https://youtu.be/Yeq0BebmZoo
SALT,https://youtu.be/1FM-wvE64ZA
1LIFE,
CTCOLD,
CTC,
SHIT,
CSNO,ran through all platforms - no videos found 
ITT,https://youtu.be/1bNNJAjxqDo
SER,
HVN,https://youtu.be/Vw7Dk0z_TX0
POOL,
LDM,
CLD,
DCNT,
SMT,
SWP,ran through all platforms - no videos found 
EDOGE,https://youtu.be/c3cqWcdVOVw
POW,
BMT,
DTC,
FNL,
INT,
EBTCOLD,
FRD,https://youtu.be/etItlScBJyQ
ALIS,https://youtu.be/8R9QGQ5h1Zw
EVX,https://youtu.be/RWGNoK92aAc
EXN,https://content.jwplatform.com/videos/oebyTtrU-G9NhEyAa.mp4
NTC,https://youtu.be/jZuqgwFDCCU
HOWL,
SHT,
BCO,ran through all platforms - no videos found 
OTN,https://vimeo.com/241393086
R,https://youtu.be/ZlJr5SnL5Kc
PME,
ONEK,
ZAP,
ENJ,https://youtu.be/e9s4kQJXvHc
SOAR,ran through all platforms - no videos found 
TBT,
LLA,
ARXAI,
SPARTA,
RUB,
BBD,
VIB,https://youtu.be/MG1MvZr3XqA
PKT,
ETHB,
CDX,
EVC,
DET,
ENO,
RENT,
KSS,
NUGD,
EBCSH,
AFST,
ELTC,
EBCH,
EXRP,
EDASH,
EXMR,
EZEC,
ENEO,
ELTC2,ran through all platforms - no videos found 
ELTC3,
EXRP2,
PAL,
NIMFA,
MOL,
MVC,
XPA,ran through all platforms - no videos found 
ELITE,ran through all platforms - no videos found 
LNT,
ICOS,https://youtu.be/lbuD32LN4T0
NCH,
PLY,
PPP,https://youtu.be/r5hbd-0luCw
EZEC2,
BKB,
BTH2,
EBCH2,
AST,https://youtu.be/LTTUzICnazU
ECASH,https://youtu.be/6zrvZiH9xco
EETH,
MDT,
ITS,
ENG,ran through all platforms - no videos found 
ACC,ran through all platforms - no videos found 
EGOLD,https://youtu.be/zP7SuYqS3tM
FLP,
IBTC,ran through all platforms - no videos found 
EBTG,
REQ,ran through all platforms - no videos found 
WRC,
RCC,
EBCG,
BTCM,No intro video found 
AION,https://youtu.be/pFkPiL-dtDY
FIT,
STM,
EUSD,No intro video found 
ETG,No intro video found 
KZN,
CASH,https://youtu.be/tdk_RiTCHtw
FUEL,https://youtu.be/SadoYzu0fT0
EDO,https://youtu.be/DQ5bVQA3gXc
BTCS,No intro video found 
10MT,https://www.facebook.com/tenmillions.token.5/videos/118139078946400/
EREAL,No intro video found 
ATMT,
ETHG,
LUM,
7YPE,
CAG,https://youtu.be/fHyzf-rQPdE
KEY,
NULS,No intro video found 
BXC,No intro video found 
BCPT,https://youtu.be/-HehNEu-yd0
GXC,
SHLD,
BLUE,No intro video found 
DRT,https://youtu.be/3dvRlBoP0HQ
FUDD,
EURB,
CM,
ETHP,
BULX,
GFL,
GEN,
LMT,
POLL,https://youtu.be/IPSmIZ6rzg0
BB,
HAT,No intro video found 
HUB,
HDG,https://vimeo.com/237516042
PRG,https://youtu.be/yRdeMrswT5o
QVT,https://youtu.be/oxfO68PjyEQ
IETH,No intro video found 
EBCC,
STH,
SCT,
ETHD,No intro video found 
DONE,
MXX,
CODE,
WND,
BTCRED,No intro video found 
LTG,No intro video found 
EGR,
MOD,https://vimeo.com/228729720
PUMP,
CL,
VIT,
BNN,
DEEP,
ETL,
HHT,
EXRN,No intro video found 
BTCE,
MSC,
KRT,
EAGLE,No intro video found 
PAYX,No intro video found 
MGX,
ETV,
MLK,
SKR,No intro video found 
ESMS,
TCASH,
